"District","District Code","Special Education Status","Count","%"
"Connecticut Technical High School System","=""9000016""","Students with Disabilities",167,17.5
"Cooperative Educational Services","=""2430014""","Students with Disabilities",48,12.4
"Cornwall School District","=""0310011""","Students with Disabilities","*","*"
"Coventry School District","=""0320011""","Students with Disabilities",24,9.5
"Cromwell School District","=""0330011""","Students with Disabilities",44,16.9
"Danbury School District","=""0340011""","Students with Disabilities",217,14.6
"Darien School District","=""0350011""","Students with Disabilities",14,2.0
"Deep River School District","=""0360011""","Students with Disabilities","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Students with Disabilities","N/A","*"
"Derby School District","=""0370011""","Students with Disabilities",42,18.4
"East Granby School District","=""0400011""","Students with Disabilities","*","*"
"East Haddam School District","=""0410011""","Students with Disabilities",6,3.2
"East Hampton School District","=""0420011""","Students with Disabilities",15,7.8
"East Hartford School District","=""0430011""","Students with Disabilities",216,16.7
"East Haven School District","=""0440011""","Students with Disabilities",49,10.9
"East Lyme School District","=""0450011""","Students with Disabilities",31,7.2
"East Windsor School District","=""0470011""","Students with Disabilities",27,11.4
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Students with Disabilities",18,11.8
"Eastford School District","=""0390011""","Students with Disabilities","*","*"
"Easton School District","=""0460011""","Students with Disabilities","*","*"
"Education Connection","=""2420014""","Students with Disabilities",18,34.0
"Ellington School District","=""0480011""","Students with Disabilities",37,10.9
"Elm City College Preparatory School District","=""2890013""","Students with Disabilities",8,22.2
"Elm City Montessori School District","=""2910013""","Students with Disabilities","N/A","*"
"Enfield School District","=""0490011""","Students with Disabilities",132,15.6
"Essex School District","=""0500011""","Students with Disabilities","N/A","N/A"
"Explorations District","=""2720013""","Students with Disabilities",6,18.2
"Fairfield School District","=""0510011""","Students with Disabilities",50,3.9
"Farmington School District","=""0520011""","Students with Disabilities",26,4.8
"Franklin School District","=""0530011""","Students with Disabilities","*","*"
"Glastonbury School District","=""0540011""","Students with Disabilities",39,5.5
"Granby School District","=""0560011""","Students with Disabilities",21,9.1
"Great Oaks Charter School District","=""2940013""","Students with Disabilities",11,"*"
"Greenwich School District","=""0570011""","Students with Disabilities",44,4.3
"Griswold School District","=""0580011""","Students with Disabilities",54,17.4
"Groton School District","=""0590011""","Students with Disabilities",127,15.3
"Guilford School District","=""0600011""","Students with Disabilities",21,4.8
"Hamden School District","=""0620011""","Students with Disabilities",156,15.1
"Hampton School District","=""0630011""","Students with Disabilities","N/A","N/A"
"Hartford School District","=""0640011""","Students with Disabilities",808,20.2
"Hartland School District","=""0650011""","Students with Disabilities","N/A","N/A"
"Hebron School District","=""0670011""","Students with Disabilities","*","*"
"Highville Charter School District","=""2860013""","Students with Disabilities","*","*"
"Integrated Day Charter School District","=""2640013""","Students with Disabilities","*","*"
"Interdistrict School for Arts and Comm District","=""2650013""","Students with Disabilities",15,38.5
"Jumoke Academy District","=""2610013""","Students with Disabilities",8,16.3
"Kent School District","=""0680011""","Students with Disabilities","N/A","N/A"
"Killingly School District","=""0690011""","Students with Disabilities",53,11.5
"Learn","=""2450014""","Students with Disabilities",34,9.4
"Lebanon School District","=""0710011""","Students with Disabilities","*","*"
"Ledyard School District","=""0720011""","Students with Disabilities",34,8.5
"Lisbon School District","=""0730011""","Students with Disabilities","*","*"
"Litchfield School District","=""0740011""","Students with Disabilities",14,10.6
"Madison School District","=""0760011""","Students with Disabilities",22,5.2
"Manchester School District","=""0770011""","Students with Disabilities",136,14.5
"Mansfield School District","=""0780011""","Students with Disabilities",10,5.6
"Marlborough School District","=""0790011""","Students with Disabilities","*","*"
"Meriden School District","=""0800011""","Students with Disabilities",244,15.4
"Middletown School District","=""0830011""","Students with Disabilities",98,13.8
"Milford School District","=""0840011""","Students with Disabilities",86,10.0
"Monroe School District","=""0850011""","Students with Disabilities",19,4.7
"Montville School District","=""0860011""","Students with Disabilities",30,8.3
"Naugatuck School District","=""0880011""","Students with Disabilities",105,13.9
"New Beginnings Inc., Family Academy District","=""2800013""","Students with Disabilities",8,18.2
"New Britain School District","=""0890011""","Students with Disabilities",339,18.0
"New Canaan School District","=""0900011""","Students with Disabilities",8,1.8
"New Fairfield School District","=""0910011""","Students with Disabilities",24,8.5
"New Hartford School District","=""0920011""","Students with Disabilities","*","*"
"New Haven School District","=""0930011""","Students with Disabilities",434,14.9
"New London School District","=""0950011""","Students with Disabilities",158,24.4
"New Milford School District","=""0960011""","Students with Disabilities",87,13.4
"Newington School District","=""0940011""","Students with Disabilities",63,10.4
"Newtown School District","=""0970011""","Students with Disabilities",28,5.0
"Norfolk School District","=""0980011""","Students with Disabilities","*","*"
"North Branford School District","=""0990011""","Students with Disabilities",45,13.7
"North Canaan School District","=""1000011""","Students with Disabilities","*","*"
"North Haven School District","=""1010011""","Students with Disabilities",34,8.2
"North Stonington School District","=""1020011""","Students with Disabilities","*","*"
"Norwalk School District","=""1030011""","Students with Disabilities",130,8.2
"Norwich Free Academy District","=""9010022""","Students with Disabilities",81,27.6
"Norwich School District","=""1040011""","Students with Disabilities",57,7.4
"Odyssey Community School District","=""2630013""","Students with Disabilities","*","*"
"Old Saybrook School District","=""1060011""","Students with Disabilities",13,6.0
"Orange School District","=""1070011""","Students with Disabilities","*","*"
"Oxford School District","=""1080011""","Students with Disabilities",7,2.7
"Park City Prep Charter School District","=""2830013""","Students with Disabilities",7,24.1
"Path Academy District","=""2930013""","Students with Disabilities",19,48.7
"Plainfield School District","=""1090011""","Students with Disabilities",67,17.7
"Plainville School District","=""1100011""","Students with Disabilities",26,7.1
"Plymouth School District","=""1110011""","Students with Disabilities",21,8.2
"Pomfret School District","=""1120011""","Students with Disabilities","*","*"
"Portland School District","=""1130011""","Students with Disabilities",9,5.2
"Preston School District","=""1140011""","Students with Disabilities","*","*"
"Putnam School District","=""1160011""","Students with Disabilities",23,10.7
"Redding School District","=""1170011""","Students with Disabilities",6,3.8
"Regional School District 01","=""2010012""","Students with Disabilities",13,19.1
"Regional School District 04","=""2040012""","Students with Disabilities",13,9.1
"Regional School District 05","=""2050012""","Students with Disabilities",18,6.6
"Regional School District 06","=""2060012""","Students with Disabilities",15,9.5
"Regional School District 07","=""2070012""","Students with Disabilities",23,17.2
"Regional School District 08","=""2080012""","Students with Disabilities",31,15.6
"Regional School District 09","=""2090012""","Students with Disabilities","*","*"
"Regional School District 10","=""2100012""","Students with Disabilities",24,8.5
"Regional School District 11","=""2110012""","Students with Disabilities",11,15.7
"Regional School District 12","=""2120012""","Students with Disabilities",14,11.3
"Regional School District 13","=""2130012""","Students with Disabilities",19,6.1
"Regional School District 14","=""2140012""","Students with Disabilities",8,3.8
"Regional School District 15","=""2150012""","Students with Disabilities",31,5.4
"Regional School District 16","=""2160012""","Students with Disabilities",27,7.4
"Regional School District 17","=""2170012""","Students with Disabilities",27,7.3
"Regional School District 18","=""2180012""","Students with Disabilities",13,6.7
"Regional School District 19","=""2190012""","Students with Disabilities",19,10.1
"Ridgefield School District","=""1180011""","Students with Disabilities",14,2.6
"Rocky Hill School District","=""1190011""","Students with Disabilities",20,7.3
"Salem School District","=""1210011""","Students with Disabilities","*","*"
"Salisbury School District","=""1220011""","Students with Disabilities","N/A","N/A"
"Scotland School District","=""1230011""","Students with Disabilities","*","*"
"Seymour School District","=""1240011""","Students with Disabilities",48,15.2
"Sharon School District","=""1250011""","Students with Disabilities","*","*"
"Shelton School District","=""1260011""","Students with Disabilities",54,7.4
"Sherman School District","=""1270011""","Students with Disabilities","*","*"
"Side By Side Charter School District","=""2700013""","Students with Disabilities","N/A","N/A"
"Simsbury School District","=""1280011""","Students with Disabilities",29,4.7
"Somers School District","=""1290011""","Students with Disabilities",15,8.5
"South Windsor School District","=""1320011""","Students with Disabilities",37,5.9
"Southington School District","=""1310011""","Students with Disabilities",78,8.5
"Sprague School District","=""1330011""","Students with Disabilities",9,14.8
"Stafford School District","=""1340011""","Students with Disabilities",27,13.1
"Stamford Academy District","=""2820013""","Students with Disabilities",10,38.5
"Stamford School District","=""1350011""","Students with Disabilities",115,5.6
"Sterling School District","=""1360011""","Students with Disabilities",7,10.4
"Stonington School District","=""1370011""","Students with Disabilities",34,9.4
"Stratford School District","=""1380011""","Students with Disabilities",112,12.6
"Suffield School District","=""1390011""","Students with Disabilities",13,4.7
"The Bridge Academy District","=""2690013""","Students with Disabilities",13,30.2
"The Gilbert School District","=""9020022""","Students with Disabilities",49,51.0
"Thomaston School District","=""1400011""","Students with Disabilities",21,13.2
"Thompson School District","=""1410011""","Students with Disabilities",7,4.8
"Tolland School District","=""1420011""","Students with Disabilities",18,5.3
"Torrington School District","=""1430011""","Students with Disabilities",110,12.1
"Trailblazers Academy District","=""2780013""","Students with Disabilities",9,20.9
"Trumbull School District","=""1440011""","Students with Disabilities",32,4.2
"Unified School District #1","=""3360015""","Students with Disabilities","N/A","N/A"
"Unified School District #2","=""3470015""","Students with Disabilities",57,29.2
"Union School District","=""1450011""","Students with Disabilities","N/A","*"
"Vernon School District","=""1460011""","Students with Disabilities",96,16.9
"Voluntown School District","=""1470011""","Students with Disabilities","*","*"
"Wallingford School District","=""1480011""","Students with Disabilities",82,10.3
"Waterbury School District","=""1510011""","Students with Disabilities",1063,29.0
"Waterford School District","=""1520011""","Students with Disabilities",60,14.7
"Watertown School District","=""1530011""","Students with Disabilities",45,11.5
"West Hartford School District","=""1550011""","Students with Disabilities",119,9.1
"West Haven School District","=""1560011""","Students with Disabilities",94,9.0
"Westbrook School District","=""1540011""","Students with Disabilities","*","*"
"Weston School District","=""1570011""","Students with Disabilities","*","*"
"Westport School District","=""1580011""","Students with Disabilities",35,5.2
"Wethersfield School District","=""1590011""","Students with Disabilities",43,7.4
"Willington School District","=""1600011""","Students with Disabilities",8,9.5
"Wilton School District","=""1610011""","Students with Disabilities",16,2.5
"Winchester School District","=""1620011""","Students with Disabilities",7,4.7
"Windham School District","=""1630011""","Students with Disabilities",126,23.4
"Windsor Locks School District","=""1650011""","Students with Disabilities",33,12.9
"Windsor School District","=""1640011""","Students with Disabilities",96,15.8
"Wolcott School District","=""1660011""","Students with Disabilities",31,11.2
"Woodbridge School District","=""1670011""","Students with Disabilities","*","*"
"Woodstock Academy District","=""9030022""","Students with Disabilities",6,10.9
"Woodstock School District","=""1690011""","Students with Disabilities","*","*"

